Trade #,Date,Entry Time EST,Exit Time EST,Direction,Session,Entry Type,Entry Price,SL Price,TP1 Price,TP2 Price,Exit Price,Exit Reason,P&L ($),P&L pct,R:R Achieved,Running Equity,Confluence Score,Confluences,HTF Bias,Trade Duration (min),Size (oz),TP1 Hit,TP2 Hit,SL Hit
61,2025-12-01,19:50:00,19:55:00,long,NY_PM,EQ,4242.41,4236.13,4254.96,4261.24,4236.05,SL,-2.74,-0.254,-1.09,1076.77,6,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; fib_79; eq,bullish,5.0,0.4,False,False,True
62,2025-12-02,08:20:00,09:00:00,long,London,FVG,4215.18,4209.89,4225.76,4231.05,4209.88,SL,-2.67,-0.248,-1.1,1074.1,6,silver_bullet; htf_bias_aligned; pdh_pdl_sweep; smt; fib_79; fvg,bullish,40.0,0.46,False,False,True
63,2025-12-02,14:00:00,14:35:00,long,NY_AM,FVG,4210.26,4202.72,4225.33,4232.87,4223.1,TP1+Trail,2.29,0.213,1.79,1076.39,5,htf_bias_aligned; pdh_pdl_sweep; bos; smt; fvg,bullish,35.0,0.17,True,False,True
64,2025-12-02,14:45:00,15:10:00,long,NY_AM,FVG,4213.55,4204.9,4230.85,4239.5,4204.88,SL,-1.38,-0.128,-1.06,1075.01,5,htf_bias_aligned; pdh_pdl_sweep; bos; smt; fvg,bullish,25.0,0.15,False,False,True
65,2025-12-03,09:05:00,11:30:00,short,London,EQ,4201.37,4206.35,4191.4,4186.42,4206.38,SL,-1.38,-0.128,-1.11,1073.63,5,htf_bias_aligned; liquidity_sweep; bos; smt; eq,bearish,145.0,0.25,False,False,True
66,2025-12-03,19:25:00,20:50:00,long,NY_PM,FVG,4199.34,4192.99,4212.04,4218.4,4206.44,TP1+Trail,1.88,0.175,1.48,1075.51,5,silver_bullet; htf_bias_aligned; liquidity_sweep; smt; fvg,bullish,85.0,0.2,True,False,True
67,2025-12-04,09:40:00,11:20:00,long,London,FVG,4192.45,4187.16,4203.03,4208.32,4201.26,TP1+Trail,2.11,0.196,1.74,1077.6200000000001,5,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,bullish,100.0,0.23,True,False,True
68,2025-12-04,13:55:00,14:35:00,long,NY_AM,EQ,4197.71,4190.22,4212.7,4220.19,4206.0,TP1+Trail,1.89,0.175,1.49,1079.51,6,htf_bias_aligned; pdh_pdl_sweep; bos; smt; fib_79; eq,bullish,40.0,0.17,True,False,True
69,2025-12-04,15:05:00,09:00:00,long,NY_AM,FVG,4201.38,4190.99,4222.16,4232.55,4220.35,TP1+Trail,2.33,0.216,1.86,1081.84,6,silver_bullet; htf_bias_aligned; pdh_pdl_sweep; bos; smt; fvg,bullish,1075.0,0.12,True,False,True
70,2025-12-08,19:00:00,19:05:00,long,NY_PM,FVG,4192.25,4187.85,4201.04,4205.44,4187.77,SL,-1.39,-0.128,-1.13,1080.45,5,silver_bullet; htf_bias_aligned; liquidity_sweep; smt; fvg,bullish,5.0,0.28,False,False,True
71,2025-12-15,18:55:00,19:00:00,long,NY_PM,FVG,4298.95,4293.62,4309.61,4314.93,4314.93,TP2,2.95,0.273,2.41,1083.4,5,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,bullish,5.0,0.23,True,True,False
72,2025-12-15,19:20:00,20:20:00,long,NY_PM,FVG,4311.97,4306.43,4323.05,4328.59,4306.43,SL,-1.33,-0.123,-1.09,1082.07,6,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; smt; fvg,bullish,60.0,0.22,False,False,True
73,2025-12-16,08:50:00,08:55:00,short,London,FVG,4280.11,4285.97,4268.39,4262.52,4286.05,SL,-1.35,-0.125,-1.1,1080.72,5,silver_bullet; htf_bias_aligned; pdh_pdl_sweep; bos; fvg,bearish,5.0,0.21,False,False,True
74,2025-12-16,19:25:00,01:25:00,long,NY_PM,FVG,4304.64,4297.89,4318.12,4324.87,4313.47,TP1+Trail,2.03,0.188,1.58,1082.75,6,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; smt; fvg,bullish,360.0,0.19,True,False,True
